approach,id,type_question,requete_bruitee,expected_doc,hit_recall3
TF-IDF,q_001,site,False,https://coria-taln-2025.lis-lab.fr/,0
TF-IDF,q_002,site,False,https://coria-taln-2025.lis-lab.fr/dates,1
TF-IDF,q_003,site,False,https://coria-taln-2025.lis-lab.fr/informations-pratiques,0
TF-IDF,q_004,site,False,https://coria-taln-2025.lis-lab.fr/ateliers,1
TF-IDF,q_005,site,False,https://coria-taln-2025.lis-lab.fr/ateliers,1
TF-IDF,q_006,site,False,https://coria-taln-2025.lis-lab.fr/coria,1
TF-IDF,q_007,site,False,https://coria-taln-2025.lis-lab.fr/taln,1
TF-IDF,q_008,site,False,https://coria-taln-2025.lis-lab.fr/rjc-recital-rjcri,1
TF-IDF,q_009,site,False,https://coria-taln-2025.lis-lab.fr/rjc-recital-rjcri,1
TF-IDF,q_010,site,False,https://coria-taln-2025.lis-lab.fr/session-industrielle,1
TF-IDF,q_011,site,False,https://coria-taln-2025.lis-lab.fr/session-industrielle,1
TF-IDF,q_012,site,False,https://coria-taln-2025.lis-lab.fr/feuilles-de-style,1
TF-IDF,q_013,site,False,https://coria-taln-2025.lis-lab.fr/inscription,1
TF-IDF,q_014,site,False,https://coria-taln-2025.lis-lab.fr/inscription,1
TF-IDF,q_015,site,False,https://coria-taln-2025.lis-lab.fr/inscription,1
TF-IDF,q_016,site,False,https://coria-taln-2025.lis-lab.fr/inscription,1
TF-IDF,q_017,site,False,https://coria-taln-2025.lis-lab.fr/ateliers-acceptes,0
TF-IDF,q_018,site,False,https://coria-taln-2025.lis-lab.fr/actes-en-ligne,1
TF-IDF,q_019,site,False,https://coria-taln-2025.lis-lab.fr/conference-invitees,0
TF-IDF,q_020,site,False,https://coria-taln-2025.lis-lab.fr/conference-invitees,1
TF-IDF,q_021,site,False,https://coria-taln-2025.lis-lab.fr/conference-invitees,1
TF-IDF,q_022,site,False,https://coria-taln-2025.lis-lab.fr/conference-invitees,1
TF-IDF,q_023,site,False,https://coria-taln-2025.lis-lab.fr/evenements,1
TF-IDF,q_024,site,False,https://coria-taln-2025.lis-lab.fr/evenements,1
TF-IDF,q_025,site,False,https://coria-taln-2025.lis-lab.fr/comite-dorganisation,1
TF-IDF,q_026,site,False,https://coria-taln-2025.lis-lab.fr/programme-salon-de-linnovation,1
TF-IDF,q_027,site,False,https://coria-taln-2025.lis-lab.fr/programme-salon-de-linnovation,1
TF-IDF,q_028,site,False,https://coria-taln-2025.lis-lab.fr/programme-detaille,1
TF-IDF,q_029,site,False,https://coria-taln-2025.lis-lab.fr/programme-detaille,1
TF-IDF,q_030,site,False,https://coria-taln-2025.lis-lab.fr/programme-detaille,1
TF-IDF,q_031,site,True,https://coria-taln-2025.lis-lab.fr/dates,0
TF-IDF,q_032,site,True,https://coria-taln-2025.lis-lab.fr/inscription,1
TF-IDF,q_033,site,True,https://coria-taln-2025.lis-lab.fr/conference-invitees,1
TF-IDF,q_034,site,True,https://coria-taln-2025.lis-lab.fr/evenements,1
TF-IDF,q_035,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/10.pdf,1
